Running 2 Tests ...
Test (part1.leader_election): Initial election
[1637688728142][raft.h:226][node 0 term 0] start
[1637688728143][raft.h:226][node 1 term 0] start
[1637688728143][raft.h:226][node 2 term 0] start
[1637688728441][raft.h:413][node 0 term 0] id: 0, term: 0, role: 0
[1637688728447][raft.h:413][node 2 term 0] id: 2, term: 0, role: 0
[1637688728453][raft.h:413][node 0 term 0] id: 0, term: 0, role: 0
[1637688728453][raft.h:413][node 1 term 0] id: 1, term: 0, role: 0
[1637688728458][raft.h:413][node 2 term 1] id: 2, term: 1, role: 1
[1637688728459][raft.h:315][node 2 term 1] RPC request_vote : get from 2, result: 1
[1637688728459][raft.h:315][node 2 term 1] RPC request_vote : get from 2, result: 1
[1637688728463][raft.h:413][node 0 term 0] id: 0, term: 0, role: 0
[1637688728463][raft.h:413][node 1 term 0] id: 1, term: 0, role: 0
[1637688728469][raft.h:413][node 2 term 1] id: 2, term: 1, role: 2
[1637688728474][raft.h:413][node 1 term 0] id: 1, term: 0, role: 0
[1637688728474][raft.h:413][node 0 term 1] id: 0, term: 1, role: 1
[1637688728475][raft.h:315][node 0 term 1] RPC request_vote : get from 0, result: 0
[1637688728475][raft.h:315][node 0 term 1] RPC request_vote : get from 0, result: 0
[1637688728480][raft.h:337][node 0 term 1] RPC append_entries
[1637688728480][raft.h:337][node 1 term 1] RPC append_entries
[1637688728485][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728485][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728496][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728496][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728506][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728506][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728517][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728517][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728528][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728528][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728539][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728539][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728550][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728550][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728561][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728561][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728571][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728572][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728582][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728582][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728592][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728592][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728605][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728605][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728615][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728616][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728625][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728626][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728630][raft.h:413][node 2 term 1] id: 2, term: 1, role: 2
[1637688728636][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728636][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728641][raft.h:337][node 0 term 1] RPC append_entries
[1637688728642][raft.h:337][node 1 term 1] RPC append_entries
[1637688728647][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728647][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728658][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728658][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728669][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728669][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728679][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728679][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728690][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728690][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728702][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728702][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728714][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728714][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728725][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728725][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728735][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728735][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728748][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728748][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728758][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728758][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728769][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728769][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728780][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728780][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728790][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728790][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728792][raft.h:413][node 2 term 1] id: 2, term: 1, role: 2
[1637688728801][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728801][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728804][raft.h:337][node 0 term 1] RPC append_entries
[1637688728804][raft.h:337][node 1 term 1] RPC append_entries
[1637688728812][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728812][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728822][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728822][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728833][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728833][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728846][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728846][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728856][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728856][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728866][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728866][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728877][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728877][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728890][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728890][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728900][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728904][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728910][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728914][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728921][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728925][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728931][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728935][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728942][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728946][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728954][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728954][raft.h:413][node 2 term 1] id: 2, term: 1, role: 2
[1637688728956][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728965][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728965][raft.h:337][node 1 term 1] RPC append_entries
[1637688728965][raft.h:337][node 0 term 1] RPC append_entries
[1637688728967][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728975][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728977][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728985][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728988][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688728996][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688728998][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729006][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729010][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729017][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729021][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729027][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
